"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 14:55:56 IST 2022","Tue Jun 07 14:55:56 IST 2022","16","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","Given I am on the home page","Given I am on the home page",""
"skipped","Fri Jun 10 12:28:04 IST 2022","Fri Jun 10 12:28:04 IST 2022","199","","Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","Given I am on the home page and I Navigate to the Register page","Given I am on the home page and I Navigate to the Register page",""
"passed","Wed May 25 13:13:07 IST 2022","Wed May 25 13:13:10 IST 2022","2978","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When user Navigate to the Register page and set the value for All mandantory fields","When user Navigate to the Register page and set the value for All mandantory fields",""
"passed","Fri Jun 10 14:36:03 IST 2022","Fri Jun 10 14:36:03 IST 2022","3","","Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","",""
"passed","Wed May 25 14:20:33 IST 2022","Wed May 25 14:20:35 IST 2022","1243","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Wed May 25 14:48:42 IST 2022","Wed May 25 14:48:42 IST 2022","1","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","",""
"skipped","Fri Jun 10 12:28:04 IST 2022","Fri Jun 10 12:28:04 IST 2022","12","","Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","When I set the value for All mandantory fields","When I set the value for All mandantory fields",""
"passed","Mon May 23 18:57:26 IST 2022","Mon May 23 18:57:28 IST 2022","2269","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When set the value for All mandantory fields","When set the value for All mandantory fields",""
"passed","Mon May 23 11:34:14 IST 2022","Mon May 23 11:34:15 IST 2022","1221","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Then set the value of All mandantory fields","Then set the value of All mandantory fields",""
"passed","Mon May 30 00:47:00 IST 2022","Mon May 30 00:47:06 IST 2022","6426","","Register , Registration functionlity for HelloSells: Register in Hellosells with valid data","","Register , Registration functionlity for HelloSells: Register in Hellosells with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Mon May 23 12:50:48 IST 2022","Mon May 23 12:51:01 IST 2022","13217","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Then click the see prices Button","Then click the see prices Button",""
"passed","Wed May 25 19:24:05 IST 2022","Wed May 25 19:24:05 IST 2022","33","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Mon May 30 00:47:09 IST 2022","Mon May 30 00:47:27 IST 2022","17987","","Register , Registration functionlity for HelloSells: Register in Hellosells with valid data","","Register , Registration functionlity for HelloSells: Register in Hellosells with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Sat May 21 15:44:56 IST 2022","Sat May 21 15:45:03 IST 2022","6798","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When Navigate to the Register page","When Navigate to the Register page",""
"passed","Mon May 30 13:25:46 IST 2022","Mon May 30 13:25:59 IST 2022","13188","","Register , Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","Register , Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Sun May 29 23:06:30 IST 2022","Sun May 29 23:06:36 IST 2022","6153","","Register , Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","Register , Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Mon May 30 13:25:59 IST 2022","Mon May 30 13:25:59 IST 2022","2","","Register , Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","Register , Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","",""
"passed","Wed May 25 14:48:02 IST 2022","Wed May 25 14:48:09 IST 2022","6385","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Tue Jun 07 16:13:18 IST 2022","Tue Jun 07 16:13:52 IST 2022","34225","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Wed May 25 19:24:05 IST 2022","Wed May 25 19:24:06 IST 2022","118","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Fri May 27 18:08:08 IST 2022","Fri May 27 18:08:21 IST 2022","13152","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"skipped","Fri Jun 10 12:28:04 IST 2022","Fri Jun 10 12:28:04 IST 2022","10","","Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","When I set the value for All mandantory fields","When I set the value for All mandantory fields",""
"failed","Mon May 30 01:22:34 IST 2022","Mon May 30 01:22:55 IST 2022","21259","","Register , Registration functionlity for LexReception: Register in LexReception with valid data","","Register , Registration functionlity for LexReception: Register in LexReception with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 30 01:35:13 IST 2022","Mon May 30 01:35:14 IST 2022","1570","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Wed May 25 14:47:56 IST 2022","Wed May 25 14:48:02 IST 2022","6587","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Mon May 30 11:34:11 IST 2022","Mon May 30 11:34:27 IST 2022","15759","","Register , Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 30 11:31:48 IST 2022","Mon May 30 11:31:58 IST 2022","9659","","Register , Registration functionlity for Answerforce CA: Register in AnsewerForce CA with valid data","","Register , Registration functionlity for Answerforce CA: Register in AnsewerForce CA with valid data","Given I am on the home page","Given I am on the home page",""
"failed","Fri Jun 10 14:35:25 IST 2022","Fri Jun 10 14:36:03 IST 2022","37835","","Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"skipped","Fri Jun 10 12:28:04 IST 2022","Fri Jun 10 12:28:04 IST 2022","7","","Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"failed","Wed May 25 14:48:09 IST 2022","Wed May 25 14:48:42 IST 2022","32917","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
